,Rk,Player,Tm,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Signed Using,Guaranteed,Link
284,285,Saddiq Bey,DET,"$2,824,320","$2,959,080","$4,556,983",,,,1st Round Pick,"$5,783,400",https://www.basketball-reference.com/players/b/beysa01.html
285,286,Kai Jones,CHO,"$2,770,560","$2,909,160","$3,047,760","$4,693,550",,,1st Round Pick,"$5,679,720",https://www.basketball-reference.com/players/j/joneska01.html
286,287,Brandon Clarke,MEM,"$2,726,880","$4,343,920",,,,,1st Round Pick,"$7,070,800",https://www.basketball-reference.com/players/c/clarkbr01.html
287,288,Precious Achiuwa,TOR,"$2,711,280","$2,840,160","$4,379,527",,,,1st Round Pick,"$5,551,440",https://www.basketball-reference.com/players/a/achiupr01.html
288,289,Jalen Johnson,ATL,"$2,659,560","$2,792,520","$2,925,480","$4,511,090",,,1st Round Pick,"$5,452,080",https://www.basketball-reference.com/players/j/johnsja05.html
289,290,Paul Millsap,PHI,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",https://www.basketball-reference.com/players/m/millspa01.html
290,291,E'Twaun Moore,ORL,"$2,641,691",,,,,,,"$2,641,691",https://www.basketball-reference.com/players/m/mooreet01.html
291,292,Udonis Haslem,MIA,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",https://www.basketball-reference.com/players/h/hasleud01.html
292,293,Markieff Morris,MIA,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",https://www.basketball-reference.com/players/m/morrima02.html
293,294,Trevor Ariza,LAL,"$2,641,691",,,,,,,"$2,641,691",https://www.basketball-reference.com/players/a/arizatr01.html
294,295,DeAndre Jordan,LAL,"$11,109,327","$7,827,907",,,,,,"$2,641,691",https://www.basketball-reference.com/players/j/jordade01.html
295,296,Dwight Howard,LAL,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",https://www.basketball-reference.com/players/h/howardw01.html
296,297,Wayne Ellington,LAL,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",https://www.basketball-reference.com/players/e/ellinwa01.html
297,298,Carmelo Anthony,LAL,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",https://www.basketball-reference.com/players/a/anthoca01.html
298,299,Enes Freedom,HOU,"$2,641,691",,,,,,,"$2,641,691",https://www.basketball-reference.com/players/k/kanteen01.html
299,300,Andre Iguodala,GSW,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",https://www.basketball-reference.com/players/i/iguodan01.html
300,301,Rajon Rondo,CLE,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",https://www.basketball-reference.com/players/r/rondora01.html
301,302,James Johnson,BRK,"$2,641,691",,,,,,,"$2,641,691",https://www.basketball-reference.com/players/j/johnsja01.html
302,303,Blake Griffin,BRK,"$32,405,817",,,,,,Minimum Salary,"$2,641,691",https://www.basketball-reference.com/players/g/griffbl01.html
303,304,LaMarcus Aldridge,BRK,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",https://www.basketball-reference.com/players/a/aldrila01.html
304,305,Avery Bradley,LAL,"$2,641,691",,,,,,,,https://www.basketball-reference.com/players/b/bradlav01.html
305,306,Ed Davis,CLE,"$2,641,691",,,,,,,,https://www.basketball-reference.com/players/d/davised01.html
306,307,Grant Williams,BOS,"$2,617,800","$4,306,281",,,,,1st Round Pick,"$6,924,081",https://www.basketball-reference.com/players/w/willigr01.html
307,308,Tyrese Maxey,PHI,"$2,602,920","$2,726,880","$4,343,920",,,,1st Round Pick,"$5,329,800",https://www.basketball-reference.com/players/m/maxeyty01.html
308,309,Keon Johnson,POR,"$2,553,120","$2,681,040","$2,808,720","$4,474,291",,,1st Round Pick,"$5,234,160",https://www.basketball-reference.com/players/j/johnske07.html
309,310,Darius Bazley,OKC,"$2,513,040","$4,264,629",,,,,1st Round Pick,"$6,777,669",https://www.basketball-reference.com/players/b/bazleda01.html
310,311,Trey Lyles,SAC,"$2,500,000","$2,625,000",,,,,Cap Space,"$2,500,000",https://www.basketball-reference.com/players/l/lylestr01.html
311,312,Zeke Nnaji,DEN,"$2,498,760","$2,617,800","$4,306,281",,,,1st Round Pick,"$5,116,560",https://www.basketball-reference.com/players/n/nnajize01.html
312,313,Isaiah Jackson,IND,"$2,451,120","$2,573,760","$2,696,280","$4,435,381",,,1st Round Pick,"$5,024,880",https://www.basketball-reference.com/players/j/jacksis01.html
313,314,Ty Jerome,OKC,"$2,412,840","$4,220,057",,,,,1st Round Pick,"$6,632,897",https://www.basketball-reference.com/players/j/jeromty01.html
314,315,Hassan Whiteside,UTA,"$2,401,537",,,,,,Minimum Salary,"$2,401,537",https://www.basketball-reference.com/players/w/whiteha01.html
315,316,Kent Bazemore,LAL,"$2,401,537",,,,,,Minimum Salary,"$2,401,537",https://www.basketball-reference.com/players/b/bazemke01.html
316,317,Austin Rivers,DEN,"$2,401,537",,,,,,Minimum Salary,"$2,401,537",https://www.basketball-reference.com/players/r/riverau01.html
317,318,Andre Drummond,BRK,"$2,401,537",,,,,,Minimum Salary,"$2,401,537",https://www.basketball-reference.com/players/d/drumman01.html
318,319,Cory Joseph,DET,"$7,310,000","$5,155,000",,,,,,"$7,310,000",https://www.basketball-reference.com/players/j/josepco01.html
319,320,Cody Zeller,POR,"$2,389,641",,,,,,,"$2,389,641",https://www.basketball-reference.com/players/z/zelleco01.html
320,321,Ben McLemore,POR,"$2,389,641",,,,,,Minimum Salary,"$2,389,641",https://www.basketball-reference.com/players/m/mclembe01.html
321,322,Solomon Hill,NYK,"$2,389,641",,,,,,,"$2,389,641",https://www.basketball-reference.com/players/h/hillso01.html
322,323,Tony Snell,NOP,"$2,389,641",,,,,,Minimum Salary,"$2,389,641",https://www.basketball-reference.com/players/s/snellto01.html
323,324,Victor Oladipo,MIA,"$2,389,641",,,,,,Minimum Salary,"$2,389,641",https://www.basketball-reference.com/players/o/oladivi01.html
324,325,Dewayne Dedmon,MIA,"$5,256,308","$2,866,667","$2,866,667","$2,866,667",,,Minimum Salary,"$2,389,641",https://www.basketball-reference.com/players/d/dedmode01.html
325,326,Otto Porter Jr.,GSW,"$2,389,641",,,,,,Minimum Salary,"$2,389,641",https://www.basketball-reference.com/players/p/porteot01.html
326,327,Leandro Bolmaro,MIN,"$2,353,320","$2,471,160","$2,588,400","$4,392,515",,,1st Round Pick,"$4,824,480",https://www.basketball-reference.com/players/b/bolmale01.html
327,328,Usman Garuba,HOU,"$2,353,320","$2,471,160","$2,588,400","$4,392,515",,,1st Round Pick,"$4,824,480",https://www.basketball-reference.com/players/g/garubus01.html
328,329,Willy Hernangómez,NOP,"$2,327,220","$2,443,581","$2,559,942",,,,Non Bird,"$4,770,801",https://www.basketball-reference.com/players/h/hernawi01.html
329,330,Nassir Little,POR,"$2,316,240","$4,171,548",,,,,1st Round Pick,"$6,487,788",https://www.basketball-reference.com/players/l/littlna01.html
330,331,R.J. Hampton,ORL,"$2,303,040","$2,412,840","$4,220,057",,,,1st Round Pick,"$4,715,880",https://www.basketball-reference.com/players/h/hamptrj01.html
331,332,Josh Christopher,HOU,"$2,259,240","$2,372,160","$2,485,200","$4,346,615",,,1st Round Pick,"$4,631,400",https://www.basketball-reference.com/players/c/chrisjo01.html
332,333,Monta Ellis,IND,"$2,245,400",,,,,,,"$2,245,400",https://www.basketball-reference.com/players/e/ellismo01.html
333,334,Elfrid Payton,PHO,"$2,239,544",,,,,,Minimum Salary,"$2,239,544",https://www.basketball-reference.com/players/p/paytoel01.html
334,335,Rodney Hood,LAC,"$2,239,544",,,,,,Minimum Salary,"$2,239,544",https://www.basketball-reference.com/players/h/hoodro01.html
335,336,Dylan Windler,CLE,"$2,239,200","$4,037,278",,,,,1st Round Pick,"$6,276,478",https://www.basketball-reference.com/players/w/windldy01.html
336,337,Immanuel Quickley,NYK,"$2,210,640","$2,316,240","$4,171,548",,,,1st Round Pick,"$4,526,880",https://www.basketball-reference.com/players/q/quickim01.html
337,338,John Konchar,MEM,"$2,197,674","$2,302,326","$2,406,977",,,,MLE,"$6,906,977",https://www.basketball-reference.com/players/k/konchjo01.html
338,339,Quentin Grimes,NYK,"$2,168,760","$2,277,000","$2,385,720","$4,296,682",,,1st Round Pick,"$4,445,760",https://www.basketball-reference.com/players/g/grimequ01.html
339,340,Jordan Poole,GSW,"$2,161,440","$3,901,399",,,,,1st Round Pick,"$6,062,839",https://www.basketball-reference.com/players/p/poolejo01.html
340,341,Bol Bol,ORL,"$2,161,152",,,,,,MLE,"$2,161,152",https://www.basketball-reference.com/players/b/bolbo01.html
341,342,Keldon Johnson,SAS,"$2,145,720","$3,873,025",,,,,1st Round Pick,"$6,018,745",https://www.basketball-reference.com/players/j/johnske04.html
342,343,Payton Pritchard,BOS,"$2,137,440","$2,239,200","$4,037,278",,,,1st Round Pick,"$4,376,640",https://www.basketball-reference.com/players/p/pritcpa01.html
343,344,Kevin Porter Jr.,HOU,"$2,130,240","$3,845,083",,,,,1st Round Pick,"$5,975,323",https://www.basketball-reference.com/players/p/porteke02.html
344,345,Bones Hyland,DEN,"$2,096,880","$2,201,400","$2,306,400","$4,158,439",,,1st Round Pick,"$4,298,280",https://www.basketball-reference.com/players/h/hylanbo01.html
345,346,Raul Neto,WAS,"$2,089,448",,,,,,Minimum Salary,"$2,089,448",https://www.basketball-reference.com/players/n/netora01.html
346,347,Frank Kaminsky,PHO,"$2,089,448",,,,,,,"$2,089,448",https://www.basketball-reference.com/players/k/kaminfr01.html
347,348,Nemanja Bjelica,GSW,"$2,089,448",,,,,,Minimum Salary,"$2,089,448",https://www.basketball-reference.com/players/b/bjeline01.html
348,349,Udoka Azubuike,UTA,"$2,075,880","$2,174,880","$3,923,484",,,,1st Round Pick,"$4,250,760",https://www.basketball-reference.com/players/a/azubuud01.html
349,350,Jaden McDaniels,MIN,"$2,063,280","$2,161,440","$3,901,399",,,,1st Round Pick,"$4,224,720",https://www.basketball-reference.com/players/m/mcdanja02.html
350,351,Malachi Flynn,TOR,"$2,048,040","$2,145,720","$3,873,025",,,,1st Round Pick,"$4,193,760",https://www.basketball-reference.com/players/f/flynnma01.html
351,352,Cam Thomas,BRK,"$2,036,280","$2,138,160","$2,240,040","$4,041,032",,,1st Round Pick,"$4,174,440",https://www.basketball-reference.com/players/t/thomaca02.html
352,353,Desmond Bane,MEM,"$2,033,160","$2,130,240","$3,845,083",,,,1st Round Pick,"$4,163,400",https://www.basketball-reference.com/players/b/banede01.html
353,354,Jaden Springer,PHI,"$2,023,800","$2,125,200","$2,226,360","$4,018,580",,,1st Round Pick,"$4,149,000",https://www.basketball-reference.com/players/s/sprinja01.html
354,355,Day'Ron Sharpe,BRK,"$2,009,040","$2,109,360","$2,210,160","$3,989,339",,,1st Round Pick,"$4,118,400",https://www.basketball-reference.com/players/s/sharpda01.html
355,356,Jeremiah Robinson-Earl,OKC,"$2,000,000","$2,000,000","$1,900,000","$1,988,598",,,MLE,"$4,000,000",https://www.basketball-reference.com/players/r/robinje02.html
356,357,Killian Tillie,MEM,"$2,000,000","$2,000,000",,,,,Room Exception,"$4,000,000",https://www.basketball-reference.com/players/t/tilliki02.html
357,358,Abdel Nader,PHO,"$2,000,000",,,,,,,"$2,000,000",https://www.basketball-reference.com/players/n/naderab01.html
358,359,Théo Maledon,OKC,"$2,000,000","$1,900,000","$1,930,681",,,,MLE,"$2,000,000",https://www.basketball-reference.com/players/m/maledth01.html
359,360,Kenrich Williams,OKC,"$2,000,000","$2,000,000",,,,,,,https://www.basketball-reference.com/players/w/willike04.html
360,361,Santi Aldama,MEM,"$1,994,520","$2,094,240","$2,194,200","$3,960,531",,,1st Round Pick,"$4,088,760",https://www.basketball-reference.com/players/a/aldamsa01.html
361,362,Damian Jones,SAC,"$1,977,011",,,,,,,,https://www.basketball-reference.com/players/j/jonesda03.html
362,363,Wesley Matthews,MIL,"$1,958,501",,,,,,,,https://www.basketball-reference.com/players/m/matthwe02.html
363,364,Rodney McGruder,DET,"$1,939,350",,,,,,Minimum Salary,"$1,939,350",https://www.basketball-reference.com/players/m/mcgruro01.html
364,365,DeAndre' Bembry,BRK,"$2,541,217",,,,,,,"$1,939,350",https://www.basketball-reference.com/players/b/bembrde01.html
365,366,Gary Payton II,GSW,"$1,939,350",,,,,,Minimum Salary,"$350,000",https://www.basketball-reference.com/players/p/paytoga02.html
366,367,Timothé Luwawu-Cabarrot,ATL,"$1,939,350",,,,,,,,https://www.basketball-reference.com/players/l/luwawti01.html
367,368,PJ Dozier,ORL,"$1,910,860",,,,,,,"$1,910,860",https://www.basketball-reference.com/players/d/doziepj01.html
368,369,Damion Lee,GSW,"$1,910,860",,,,,,,,https://www.basketball-reference.com/players/l/leeda03.html
369,370,Larry Sanders,MIL,"$1,865,547",,,,,,,"$1,865,547",https://www.basketball-reference.com/players/s/sandela01.html
370,371,Shake Milton,PHI,"$1,846,738","$1,997,718",,,,,Cap Space,"$1,846,738",https://www.basketball-reference.com/players/m/miltosh01.html
371,372,Mitchell Robinson,NYK,"$1,802,057",,,,,,MLE,"$1,802,057",https://www.basketball-reference.com/players/r/robinmi01.html
372,373,Jalen Brunson,DAL,"$1,802,057",,,,,,,,https://www.basketball-reference.com/players/b/brunsja01.html
373,374,Dennis Smith Jr.,POR,"$1,789,256",,,,,,,"$1,789,256",https://www.basketball-reference.com/players/s/smithde03.html
374,375,Malik Monk,LAL,"$1,789,256",,,,,,Minimum Salary,"$1,789,256",https://www.basketball-reference.com/players/m/monkma01.html
375,376,Semi Ojeleye,LAC,"$1,789,256",,,,,,,"$1,789,256",https://www.basketball-reference.com/players/o/ojelese01.html
376,377,Frank Ntilikina,DAL,"$1,789,256","$2,036,318",,,,,Minimum Salary,"$1,789,256",https://www.basketball-reference.com/players/n/ntilila01.html
377,378,Tony Bradley,CHI,"$1,789,256","$2,036,318",,,,,Minimum Salary,"$1,789,256",https://www.basketball-reference.com/players/b/bradlto01.html
378,379,Didi Louzada,POR,"$1,786,878","$1,876,222","$1,965,566","$2,057,646",,,Non Bird,"$3,663,100",https://www.basketball-reference.com/players/l/louzama01.html
379,380,Daniel Gafford,WAS,"$1,782,621","$1,930,681","$12,402,000","$13,394,160","$14,386,320",,Minimum Salary,"$43,895,782",https://www.basketball-reference.com/players/g/gaffoda01.html
380,381,Terance Mann,LAC,"$1,782,621","$1,930,681","$10,576,923","$11,423,077",,,Minimum Salary,"$25,713,302",https://www.basketball-reference.com/players/m/mannte01.html
381,382,Eric Paschall,UTA,"$1,782,621",,,,,,MLE,"$1,782,621",https://www.basketball-reference.com/players/p/pascher01.html
382,383,KZ Okpala,OKC,"$1,782,621",,,,,,,"$1,782,621",https://www.basketball-reference.com/players/o/okpalkz01.html
383,384,Carsen Edwards,MEM,"$76,744","$1,815,677",,,,,,"$1,782,621",https://www.basketball-reference.com/players/e/edwarca01.html
384,385,Bruno Fernando,HOU,"$1,782,621",,,,,,Cap space,"$1,782,621",https://www.basketball-reference.com/players/f/fernabr01.html
385,386,Cody Martin,CHO,"$1,782,621",,,,,,MLE,"$1,782,621",https://www.basketball-reference.com/players/m/martico01.html
386,387,Nic Claxton,BRK,"$1,782,621",,,,,,Minimum Salary,"$1,782,621",https://www.basketball-reference.com/players/c/claxtni01.html
387,388,Luguentz Dort,OKC,"$1,782,621","$1,930,681",,,,,Minimum Salary,"$625,000",https://www.basketball-reference.com/players/d/dortlu01.html
388,389,Isaiah Roby,OKC,"$1,782,621","$1,930,681",,,,,,,https://www.basketball-reference.com/players/r/robyis01.html
389,390,Jaylen Nowell,MIN,"$1,782,621","$1,930,681",,,,,,,https://www.basketball-reference.com/players/n/nowelja01.html
390,391,Naz Reid,MIN,"$1,782,621","$1,930,681",,,,,,,https://www.basketball-reference.com/players/r/reidna01.html
391,392,Vlatko Čančar,DEN,"$1,782,621",,,,,,,,https://www.basketball-reference.com/players/c/cancavl01.html
392,393,Dean Wade,CLE,"$1,782,621","$1,930,681",,,,,,,https://www.basketball-reference.com/players/w/wadede01.html
393,394,Jalen McDaniels,CHO,"$1,782,621","$1,930,681",,,,,,,https://www.basketball-reference.com/players/m/mcdanja01.html
394,395,Drew Eubanks,TOR,"$1,762,796",,,,,,,"$1,762,796",https://www.basketball-reference.com/players/e/eubandr01.html
395,396,Chimezie Metu,SAC,"$1,762,796","$1,910,860",,,,,,,https://www.basketball-reference.com/players/m/metuch01.html
396,397,Yuta Watanabe,TOR,"$1,762,769",,,,,,,,https://www.basketball-reference.com/players/w/watanyu01.html
397,398,Svi Mykhailiuk,TOR,"$1,729,217","$1,878,720",,,,,Minimum Salary,"$1,729,217",https://www.basketball-reference.com/players/m/mykhasv01.html
398,399,Keita Bates-Diop,SAS,"$1,729,217","$1,878,720",,,,,Minimum Salary,"$1,729,217",https://www.basketball-reference.com/players/b/bateske01.html
399,400,Moritz Wagner,ORL,"$1,729,217","$1,878,720",,,,,Minimum Salary,"$1,729,217",https://www.basketball-reference.com/players/w/wagnemo01.html
400,401,Thanasis Antetokounmpo,MIL,"$1,729,217","$1,878,720",,,,,Minimum Salary,"$1,729,217",https://www.basketball-reference.com/players/a/antetth01.html
401,402,Isaac Bonga,TOR,"$1,729,217",,,,,,,,https://www.basketball-reference.com/players/b/bongais01.html
402,403,Isaiah Hartenstein,LAC,"$3,430,810",,,,,,,,https://www.basketball-reference.com/players/h/harteis01.html
403,404,Juan Toscano-Anderson,GSW,"$1,701,593",,,,,,Minimum Salary,"$1,701,593",https://www.basketball-reference.com/players/t/toscaju01.html
404,405,Moses Brown,DAL,"$1,720,779",,,,,,,"$1,701,593",https://www.basketball-reference.com/players/b/brownmo01.html
405,406,Oshae Brissett,IND,"$1,701,593","$1,846,738",,,,,,,https://www.basketball-reference.com/players/b/brissos01.html
406,407,Isaiah Hartenstein,CLE,"$3,430,810",,,,,,,,https://www.basketball-reference.com/players/h/harteis01.html
407,408,Herbert Jones,NOP,"$1,700,000","$1,785,000","$1,836,096",,,,MLE,"$3,485,000",https://www.basketball-reference.com/players/j/joneshe01.html
408,409,Gabriel Deck,OKC,"$1,690,507",,,,,,Cap Space,"$1,690,507",https://www.basketball-reference.com/players/d/deckga01.html
409,410,Jordan McLaughlin,MIN,"$1,669,178","$1,815,677","$1,968,182",,,,Early Bird,"$5,453,037",https://www.basketball-reference.com/players/m/mclaujo01.html
410,411,Javonte Green,CHI,"$1,669,178","$1,815,677",,,,,Minimum Salary,"$3,484,855",https://www.basketball-reference.com/players/g/greenja02.html
411,412,Max Strus,MIA,"$1,669,178","$1,815,677",,,,,Minimum Salary,"$1,669,178",https://www.basketball-reference.com/players/s/strusma01.html
412,413,Gabe Vincent,MIA,"$1,669,178","$1,815,677",,,,,Minimum Salary,"$1,669,178",https://www.basketball-reference.com/players/v/vincega01.html
413,414,Kevin Pangos,CLE,"$1,669,178",,,,,,,"$1,669,178",https://www.basketball-reference.com/players/p/pangoke01.html
414,415,Matt Thomas,CHI,"$1,669,178",,,,,,Minimum Salary,"$1,669,178",https://www.basketball-reference.com/players/t/thomama02.html
415,416,Vernon Carey Jr.,WAS,"$1,517,981","$1,782,621","$1,930,681",,,,Cap Space,"$3,300,602",https://www.basketball-reference.com/players/c/careyve01.html
416,417,Xavier Tillman Sr.,MEM,"$1,517,981","$1,782,621","$1,930,681",,,,MLE,"$3,300,602",https://www.basketball-reference.com/players/t/tillmxa01.html
417,418,Tyrell Terry,DAL,"$1,517,981","$1,782,621",,,,,,"$3,300,602",https://www.basketball-reference.com/players/t/terryty01.html
418,419,Tre Jones,SAS,"$1,517,981","$1,782,621",,,,,MLE,"$1,517,981",https://www.basketball-reference.com/players/j/jonestr01.html
419,420,Robert Woodard II,SAC,"$1,517,981",,,,,,,"$1,517,981",https://www.basketball-reference.com/players/w/woodaro01.html
420,421,Jahmi'us Ramsey,SAC,"$1,517,981",,,,,,,"$1,517,981",https://www.basketball-reference.com/players/r/ramseja01.html
421,422,CJ Elleby,POR,"$1,517,981",,,,,,Minimum Salary,"$1,517,981",https://www.basketball-reference.com/players/e/ellebcj01.html
422,423,Elijah Hughes,POR,"$1,517,981",,,,,,Minimum Salary,"$1,517,981",https://www.basketball-reference.com/players/h/hugheel01.html
423,424,Isaiah Joe,PHI,"$1,517,981","$1,782,621",,,,,MLE,"$1,517,981",https://www.basketball-reference.com/players/j/joeis01.html
424,425,Naji Marshall,NOP,"$1,517,981","$1,782,621","$1,930,681",,,,MLE,"$1,517,981",https://www.basketball-reference.com/players/m/marshna01.html
425,426,Jordan Nwora,MIL,"$1,517,981",,,,,,Minimum Salary,"$1,517,981",https://www.basketball-reference.com/players/n/nworajo01.html
426,427,Nick Richards,CHO,"$1,517,981","$1,782,621",,,,,Cap Space,"$1,517,981",https://www.basketball-reference.com/players/r/richani01.html
427,428,Anthony Gill,WAS,"$1,517,981",,,,,,,,https://www.basketball-reference.com/players/g/gillan01.html
428,429,Paul Reed,PHI,"$1,517,981","$1,782,621",,,,,,,https://www.basketball-reference.com/players/r/reedpa01.html
429,430,Kenyon Martin Jr.,HOU,"$1,517,981","$1,782,621","$1,930,681",,,,,,https://www.basketball-reference.com/players/m/martike04.html
430,431,Jae'Sean Tate,HOU,"$1,517,981","$1,782,621",,,,,,,https://www.basketball-reference.com/players/t/tateja01.html
431,432,Lamar Stevens,CLE,"$1,517,981","$1,782,621","$1,930,681",,,,,,https://www.basketball-reference.com/players/s/stevela01.html
432,433,Isaiah Todd,WAS,"$1,500,000","$1,563,518","$1,836,096","$1,988,598",,,MLE,"$4,899,614",https://www.basketball-reference.com/players/t/toddis01.html
433,434,Jose Alvarado,NOP,"$1,500,000","$1,563,518","$1,836,096","$1,988,598",,,MLE,"$3,063,518",https://www.basketball-reference.com/players/a/alvarjo01.html
434,435,Saben Lee,DET,"$1,489,065","$1,752,638","$1,902,137",,,,Cap Space,"$3,241,703",https://www.basketball-reference.com/players/l/leesa01.html
435,436,Omer Yurtseven,MIA,"$1,489,065","$1,752,638",,,,,Minimum Salary,"$1,489,065",https://www.basketball-reference.com/players/y/yurtsom01.html
436,437,Armoni Brooks,HOU,"$1,625,991","$1,752,638",,,,,,"$1,489,065",https://www.basketball-reference.com/players/b/brookar01.html
437,438,J.R. Smith,CLE,"$1,456,666",,,,,,,"$1,456,666",https://www.basketball-reference.com/players/s/smithjr01.html
438,439,Danuel House Jr.,HOU,"$2,045,094",,,,,,,"$1,387,498",https://www.basketball-reference.com/players/h/houseda01.html
439,440,Bismack Biyombo,PHO,"$1,366,392",,,,,,Minimum Salary,"$1,518,213",https://www.basketball-reference.com/players/b/biyombi01.html
440,441,George Hill,PHI,"$4,000,000","$4,000,000",,,,,,"$1,275,491",https://www.basketball-reference.com/players/h/hillge01.html
441,442,DeMarre Carroll,SAS,"$1,252,127",,,,,,,"$1,252,127",https://www.basketball-reference.com/players/c/carrode01.html
